"Geo Code","Geo Name","Line Number"
"2021A000011124","Canada",2
"2021A000210","Newfoundland and Labrador",2633
"2013A000410001","Avalon",5264
"2013A000410002","Bonavista--Burin--Trinity",7895
"2013A000410003","Coast of Bays--Central--Notre Dame",10526
"2013A000410004","Labrador",13157
"2013A000410005","Long Range Mountains",15788
"2013A000410006","St. John's East",18419
"2013A000410007","St. John's South--Mount Pearl",21050
"2021A000211","Prince Edward Island",23681
"2013A000411001","Cardigan",26312
"2013A000411002","Charlottetown",28943
"2013A000411003","Egmont",31574
"2013A000411004","Malpeque",34205
"2021A000212","Nova Scotia",36836
"2013A000412001","Cape Breton--Canso",39467
"2013A000412002","Central Nova",42098
"2013A000412003","Cumberland--Colchester",44729
"2013A000412004","Dartmouth--Cole Harbour",47360
"2013A000412005","Halifax",49991
"2013A000412006","Halifax West",52622
"2013A000412007","Kings--Hants",55253
"2013A000412008","Sackville--Preston--Chezzetcook",57884
"2013A000412009","South Shore--St. Margarets",60515
"2013A000412010","Sydney--Victoria",63146
"2013A000412011","West Nova",65777
"2021A000213","New Brunswick",68408
"2013A000413001","Acadie--Bathurst",71039
"2013A000413002","Beauséjour",73670
"2013A000413003","Fredericton",76301
"2013A000413004","Fundy Royal",78932
"2013A000413005","Madawaska--Restigouche",81563
"2013A000413006","Miramichi--Grand Lake",84194
"2013A000413007","Moncton--Riverview--Dieppe",86825
"2013A000413008","New Brunswick Southwest",89456
"2013A000413009","Saint John--Rothesay",92087
"2013A000413010","Tobique--Mactaquac",94718
"2021A000224","Quebec",97349
"2013A000424001","Abitibi--Baie-James--Nunavik--Eeyou",99980
"2013A000424002","Abitibi--Témiscamingue",102611
"2013A000424003","Ahuntsic-Cartierville",105242
"2013A000424004","Alfred-Pellan",107873
"2013A000424005","Argenteuil--La Petite-Nation",110504
"2013A000424006","Avignon--La Mitis--Matane--Matapédia",113135
"2013A000424007","Beauce",115766
"2013A000424008","Beauport--Limoilou",118397
"2013A000424009","Bécancour--Nicolet--Saurel",121028
"2013A000424010","Bellechasse--Les Etchemins--Lévis",123659
"2013A000424011","Beloeil--Chambly",126290
"2013A000424012","Berthier--Maskinongé",128921
"2013A000424013","Thérèse-De Blainville",131552
"2013A000424014","Pierre-Boucher--Les Patriotes--Verchères",134183
"2013A000424015","Bourassa",136814
"2013A000424016","Brome--Missisquoi",139445
"2013A000424017","Brossard--Saint-Lambert",142076
"2013A000424018","Rimouski-Neigette--Témiscouata--Les Basques",144707
"2013A000424019","Charlesbourg--Haute-Saint-Charles",147338
"2013A000424020","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix",149969
"2013A000424021","Châteauguay--Lacolle",152600
"2013A000424022","Chicoutimi--Le Fjord",155231
"2013A000424023","Compton--Stanstead",157862
"2013A000424024","Dorval--Lachine--LaSalle",160493
"2013A000424025","Drummond",163124
"2013A000424026","Gaspésie--Les Îles-de-la-Madeleine",165755
"2013A000424027","Gatineau",168386
"2013A000424028","Hochelaga",171017
"2013A000424029","Honoré-Mercier",173648
"2013A000424030","Hull--Aylmer",176279
"2013A000424031","Joliette",178910
"2013A000424032","Jonquière",181541
"2013A000424033","La Pointe-de-l'Île",184172
"2013A000424034","La Prairie",186803
"2013A000424035","Lac-Saint-Jean",189434
"2013A000424036","Lac-Saint-Louis",192065
"2013A000424037","LaSalle--Émard--Verdun",194696
"2013A000424038","Laurentides--Labelle",197327
"2013A000424039","Laurier--Sainte-Marie",199958
"2013A000424040","Laval--Les Îles",202589
"2013A000424041","Longueuil--Charles-LeMoyne",205220
"2013A000424042","Lévis--Lotbinière",207851
"2013A000424043","Longueuil--Saint-Hubert",210482
"2013A000424044","Louis-Hébert",213113
"2013A000424045","Louis-Saint-Laurent",215744
"2013A000424046","Manicouagan",218375
"2013A000424047","Mégantic--L'Érable",221006
"2013A000424048","Mirabel",223637
"2013A000424049","Montarville",226268
"2013A000424050","Montcalm",228899
"2013A000424051","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",231530
"2013A000424052","Mount Royal",234161
"2013A000424053","Notre-Dame-de-Grâce--Westmount",236792
"2013A000424054","Outremont",239423
"2013A000424055","Papineau",242054
"2013A000424056","Pierrefonds--Dollard",244685
"2013A000424057","Pontiac",247316
"2013A000424058","Portneuf--Jacques-Cartier",249947
"2013A000424059","Québec",252578
"2013A000424060","Repentigny",255209
"2013A000424061","Richmond--Arthabaska",257840
"2013A000424062","Rivière-des-Mille-Îles",260471
"2013A000424063","Rivière-du-Nord",263102
"2013A000424064","Rosemont--La Petite-Patrie",265733
"2013A000424065","Marc-Aurèle-Fortin",268364
"2013A000424066","Saint-Hyacinthe--Bagot",270995
"2013A000424067","Saint-Jean",273626
"2013A000424068","Saint-Laurent",276257
"2013A000424069","Saint-Léonard--Saint-Michel",278888
"2013A000424070","Saint-Maurice--Champlain",281519
"2013A000424071","Salaberry--Suroît",284150
"2013A000424072","Shefford",286781
"2013A000424073","Sherbrooke",289412
"2013A000424074","Vaudreuil--Soulanges",292043
"2013A000424075","Terrebonne",294674
"2013A000424076","Trois-Rivières",297305
"2013A000424077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",299936
"2013A000424078","Vimy",302567
"2021A000235","Ontario",305198
"2013A000435001","Ajax",307829
"2013A000435002","Algoma--Manitoulin--Kapuskasing",310460
"2013A000435003","Aurora--Oak Ridges--Richmond Hill",313091
"2013A000435004","Barrie--Innisfil",315722
"2013A000435005","Barrie--Springwater--Oro-Medonte",318353
"2013A000435006","Bay of Quinte",320984
"2013A000435007","Beaches--East York",323615
"2013A000435008","Brampton Centre",326246
"2013A000435009","Brampton East",328877
"2013A000435010","Brampton North",331508
"2013A000435011","Brampton South",334139
"2013A000435012","Brampton West",336770
"2013A000435013","Brantford--Brant",339401
"2013A000435014","Bruce--Grey--Owen Sound",342032
"2013A000435015","Burlington",344663
"2013A000435016","Cambridge",347294
"2013A000435017","Chatham-Kent--Leamington",349925
"2013A000435018","Davenport",352556
"2013A000435019","Don Valley East",355187
"2013A000435020","Don Valley North",357818
"2013A000435021","Don Valley West",360449
"2013A000435022","Dufferin--Caledon",363080
"2013A000435023","Durham",365711
"2013A000435024","Eglinton--Lawrence",368342
"2013A000435025","Elgin--Middlesex--London",370973
"2013A000435026","Essex",373604
"2013A000435027","Etobicoke Centre",376235
"2013A000435028","Etobicoke--Lakeshore",378866
"2013A000435029","Etobicoke North",381497
"2013A000435030","Flamborough--Glanbrook",384128
"2013A000435031","Glengarry--Prescott--Russell",386759
"2013A000435032","Guelph",389390
"2013A000435033","Haldimand--Norfolk",392021
"2013A000435034","Haliburton--Kawartha Lakes--Brock",394652
"2013A000435035","Hamilton Centre",397283
"2013A000435036","Hamilton East--Stoney Creek",399914
"2013A000435037","Hamilton Mountain",402545
"2013A000435038","Hamilton West--Ancaster--Dundas",405176
"2013A000435039","Hastings--Lennox and Addington",407807
"2013A000435040","Huron--Bruce",410438
"2013A000435041","Kanata--Carleton",413069
"2013A000435042","Kenora",415700
"2013A000435043","King--Vaughan",418331
"2013A000435044","Kingston and the Islands",420962
"2013A000435045","Kitchener Centre",423593
"2013A000435046","Kitchener--Conestoga",426224
"2013A000435047","Kitchener South--Hespeler",428855
"2013A000435048","Lambton--Kent--Middlesex",431486
"2013A000435049","Lanark--Frontenac--Kingston",434117
"2013A000435050","Leeds--Grenville--Thousand Islands and Rideau Lakes",436748
"2013A000435051","London--Fanshawe",439379
"2013A000435052","London North Centre",442010
"2013A000435053","London West",444641
"2013A000435054","Markham--Stouffville",447272
"2013A000435055","Markham--Thornhill",449903
"2013A000435056","Markham--Unionville",452534
"2013A000435057","Milton",455165
"2013A000435058","Mississauga Centre",457796
"2013A000435059","Mississauga East--Cooksville",460427
"2013A000435060","Mississauga--Erin Mills",463058
"2013A000435061","Mississauga--Lakeshore",465689
"2013A000435062","Mississauga--Malton",468320
"2013A000435063","Mississauga--Streetsville",470951
"2013A000435064","Nepean",473582
"2013A000435065","Newmarket--Aurora",476213
"2013A000435066","Niagara Centre",478844
"2013A000435067","Niagara Falls",481475
"2013A000435068","Niagara West",484106
"2013A000435069","Nickel Belt",486737
"2013A000435070","Nipissing--Timiskaming",489368
"2013A000435071","Northumberland--Peterborough South",491999
"2013A000435072","Oakville",494630
"2013A000435073","Oakville North--Burlington",497261
"2013A000435074","Oshawa",499892
"2013A000435075","Ottawa Centre",502523
"2013A000435076","Orléans",505154
"2013A000435077","Ottawa South",507785
"2013A000435078","Ottawa--Vanier",510416
"2013A000435079","Ottawa West--Nepean",513047
"2013A000435080","Oxford",515678
"2013A000435081","Parkdale--High Park",518309
"2013A000435082","Parry Sound--Muskoka",520940
"2013A000435083","Perth--Wellington",523571
"2013A000435084","Peterborough--Kawartha",526202
"2013A000435085","Pickering--Uxbridge",528833
"2013A000435086","Renfrew--Nipissing--Pembroke",531464
"2013A000435087","Richmond Hill",534095
"2013A000435088","Carleton",536726
"2013A000435089","St. Catharines",539357
"2013A000435090","Toronto--St. Paul's",541988
"2013A000435091","Sarnia--Lambton",544619
"2013A000435092","Sault Ste. Marie",547250
"2013A000435093","Scarborough--Agincourt",549881
"2013A000435094","Scarborough Centre",552512
"2013A000435095","Scarborough--Guildwood",555143
"2013A000435096","Scarborough North",557774
"2013A000435097","Scarborough--Rouge Park",560405
"2013A000435098","Scarborough Southwest",563036
"2013A000435099","Simcoe--Grey",565667
"2013A000435100","Simcoe North",568298
"2013A000435101","Spadina--Fort York",570929
"2013A000435102","Stormont--Dundas--South Glengarry",573560
"2013A000435103","Sudbury",576191
"2013A000435104","Thornhill",578822
"2013A000435105","Thunder Bay--Rainy River",581453
"2013A000435106","Thunder Bay--Superior North",584084
"2013A000435107","Timmins--James Bay",586715
"2013A000435108","Toronto Centre",589346
"2013A000435109","Toronto--Danforth",591977
"2013A000435110","University--Rosedale",594608
"2013A000435111","Vaughan--Woodbridge",597239
"2013A000435112","Waterloo",599870
"2013A000435113","Wellington--Halton Hills",602501
"2013A000435114","Whitby",605132
"2013A000435115","Willowdale",607763
"2013A000435116","Windsor--Tecumseh",610394
"2013A000435117","Windsor West",613025
"2013A000435118","York Centre",615656
"2013A000435119","York--Simcoe",618287
"2013A000435120","York South--Weston",620918
"2013A000435121","Humber River--Black Creek",623549
"2021A000246","Manitoba",626180
"2013A000446001","Brandon--Souris",628811
"2013A000446002","Charleswood--St. James--Assiniboia--Headingley",631442
"2013A000446003","Churchill--Keewatinook Aski",634073
"2013A000446004","Dauphin--Swan River--Neepawa",636704
"2013A000446005","Elmwood--Transcona",639335
"2013A000446006","Kildonan--St. Paul",641966
"2013A000446007","Portage--Lisgar",644597
"2013A000446008","Provencher",647228
"2013A000446009","Saint Boniface--Saint Vital",649859
"2013A000446010","Selkirk--Interlake--Eastman",652490
"2013A000446011","Winnipeg Centre",655121
"2013A000446012","Winnipeg North",657752
"2013A000446013","Winnipeg South",660383
"2013A000446014","Winnipeg South Centre",663014
"2021A000247","Saskatchewan",665645
"2013A000447001","Battlefords--Lloydminster",668276
"2013A000447002","Cypress Hills--Grasslands",670907
"2013A000447003","Desnethé--Missinippi--Churchill River",673538
"2013A000447004","Carlton Trail--Eagle Creek",676169
"2013A000447005","Moose Jaw--Lake Centre--Lanigan",678800
"2013A000447006","Prince Albert",681431
"2013A000447007","Regina--Lewvan",684062
"2013A000447008","Regina--Qu'Appelle",686693
"2013A000447009","Regina--Wascana",689324
"2013A000447010","Saskatoon--Grasswood",691955
"2013A000447011","Saskatoon--University",694586
"2013A000447012","Saskatoon West",697217
"2013A000447013","Souris--Moose Mountain",699848
"2013A000447014","Yorkton--Melville",702479
"2021A000248","Alberta",705110
"2013A000448001","Banff--Airdrie",707741
"2013A000448002","Battle River--Crowfoot",710372
"2013A000448003","Bow River",713003
"2013A000448004","Calgary Centre",715634
"2013A000448005","Calgary Confederation",718265
"2013A000448006","Calgary Forest Lawn",720896
"2013A000448007","Calgary Heritage",723527
"2013A000448008","Calgary Midnapore",726158
"2013A000448009","Calgary Nose Hill",728789
"2013A000448010","Calgary Rocky Ridge",731420
"2013A000448011","Calgary Shepard",734051
"2013A000448012","Calgary Signal Hill",736682
"2013A000448013","Calgary Skyview",739313
"2013A000448014","Edmonton Centre",741944
"2013A000448015","Edmonton Griesbach",744575
"2013A000448016","Edmonton Manning",747206
"2013A000448017","Edmonton Mill Woods",749837
"2013A000448018","Edmonton Riverbend",752468
"2013A000448019","Edmonton Strathcona",755099
"2013A000448020","Edmonton West",757730
"2013A000448021","Edmonton--Wetaskiwin",760361
"2013A000448022","Foothills",762992
"2013A000448023","Fort McMurray--Cold Lake",765623
"2013A000448024","Grande Prairie--Mackenzie",768254
"2013A000448025","Lakeland",770885
"2013A000448026","Lethbridge",773516
"2013A000448027","Medicine Hat--Cardston--Warner",776147
"2013A000448028","Peace River--Westlock",778778
"2013A000448029","Red Deer--Mountain View",781409
"2013A000448030","Red Deer--Lacombe",784040
"2013A000448031","St. Albert--Edmonton",786671
"2013A000448032","Sherwood Park--Fort Saskatchewan",789302
"2013A000448033","Sturgeon River--Parkland",791933
"2013A000448034","Yellowhead",794564
"2021A000259","British Columbia",797195
"2013A000459001","Abbotsford",799826
"2013A000459002","Burnaby North--Seymour",802457
"2013A000459003","Burnaby South",805088
"2013A000459004","Cariboo--Prince George",807719
"2013A000459005","Central Okanagan--Similkameen--Nicola",810350
"2013A000459006","Chilliwack--Hope",812981
"2013A000459007","Cloverdale--Langley City",815612
"2013A000459008","Coquitlam--Port Coquitlam",818243
"2013A000459009","Courtenay--Alberni",820874
"2013A000459010","Cowichan--Malahat--Langford",823505
"2013A000459011","Delta",826136
"2013A000459012","Fleetwood--Port Kells",828767
"2013A000459013","Kamloops--Thompson--Cariboo",831398
"2013A000459014","Kelowna--Lake Country",834029
"2013A000459015","Kootenay--Columbia",836660
"2013A000459016","Langley--Aldergrove",839291
"2013A000459017","Mission--Matsqui--Fraser Canyon",841922
"2013A000459018","Nanaimo--Ladysmith",844553
"2013A000459019","New Westminster--Burnaby",847184
"2013A000459020","North Okanagan--Shuswap",849815
"2013A000459021","North Vancouver",852446
"2013A000459022","Pitt Meadows--Maple Ridge",855077
"2013A000459023","Port Moody--Coquitlam",857708
"2013A000459024","Prince George--Peace River--Northern Rockies",860339
"2013A000459025","Richmond Centre",862970
"2013A000459026","Esquimalt--Saanich--Sooke",865601
"2013A000459027","Saanich--Gulf Islands",868232
"2013A000459028","Skeena--Bulkley Valley",870863
"2013A000459029","South Okanagan--West Kootenay",873494
"2013A000459030","South Surrey--White Rock",876125
"2013A000459031","Steveston--Richmond East",878756
"2013A000459032","Surrey Centre",881387
"2013A000459033","Surrey--Newton",884018
"2013A000459034","Vancouver Centre",886649
"2013A000459035","Vancouver East",889280
"2013A000459036","Vancouver Granville",891911
"2013A000459037","North Island--Powell River",894542
"2013A000459038","Vancouver Kingsway",897173
"2013A000459039","Vancouver Quadra",899804
"2013A000459040","Vancouver South",902435
"2013A000459041","Victoria",905066
"2013A000459042","West Vancouver--Sunshine Coast--Sea to Sky Country",907697
"2021A000260","Yukon",910328
"2013A000460001","Yukon",912959
"2021A000261","Northwest Territories",915590
"2013A000461001","Northwest Territories",918221
"2021A000262","Nunavut",920852
"2013A000462001","Nunavut",923483
