2021_FED_NUM,2021_ED_NAMEE,2021_SHAPE_area,2023_FED_NUM,2023_ED_NAMEE,2023_POP_CNT,2023_PROV,2023_Shape_area,Intersect_Area,2021_POP_CNT
24065,Marc-Aurèle-Fortin,57576331.58250000328,24045,Marc-Aurèle-Fortin,104636,QC,57576331.95019999892,55934947.260,104636
24066,Saint-Hyacinthe--Bagot,1948975710.93000006676,24066,Saint-Hyacinthe—Bagot—Acton,105086,QC,1949182949.15000009537,1894367173.000,105086
24067,Saint-Jean,734289253.59800004959,24067,Saint-Jean,114617,QC,734289244.08000004292,711045031.300,114617
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24069,Saint-Léonard—Saint-Michel,112922,QC,19802232.34079999849,19234240.320,115553
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24026,Hochelaga—Rosemont-Est,110039,QC,24252693.54490000010,153059.680,115553
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24027,Honoré-Mercier,105434,QC,44887867.47070000321,877247.193,115553
24070,Saint-Maurice--Champlain,38967283906.59999847412,24070,Saint-Maurice—Champlain,111997,QC,38967283904.09999847412,38592965246.000,111997
24071,Salaberry--Suroît,2467802824.48999977112,24007,Beauharnois—Salaberry—Soulanges—Huntingdon,118474,QC,1987219357.83999991417,1826452958.000,119351
24071,Salaberry--Suroît,2467802824.48999977112,24017,Châteauguay—Les Jardins-de-Napierville,114947,QC,1553493859.57999992371,561145428.800,119351
59011,Delta,408524023.68400001526,59011,Delta,117734,BC,412118036.33399999142,408765528.600,110721
59012,Fleetwood--Port Kells,74078499.74099999666,59013,Fleetwood—Port Kells,117423,BC,53364065.24419999868,45401749.180,124987
59012,Fleetwood--Port Kells,74078499.74099999666,59017,Langley Township—Fraser Heights,117251,BC,210880510.50199997425,28776263.840,124987
10001,Avalon,9806182261.01000022888,10001,Avalon,81781,NL,8020015694.22000026703,7408622593.000,87191
10001,Avalon,9806182261.01000022888,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,2218147253.000,87191
10005,Long Range Mountains,57529814113.90000152588,10005,Long Range Mountains,81795,NL,57889445924.30000305176,57556625872.000,81716
10002,Bonavista--Burin--Trinity,35617478235.00000000000,10003,Central Newfoundland,74122,NL,57534818563.59999847412,179198135.600,71898
10002,Bonavista--Burin--Trinity,35617478235.00000000000,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,35154347732.000,71898
10003,Coast of Bays--Central--Notre Dame,57335896593.50000000000,10003,Central Newfoundland,74122,NL,57534818563.59999847412,57127665044.000,74201
10004,Labrador,334529296021.00000000000,10004,Labrador,26655,NL,334056287754.00000000000,34567216345.000,26655
10006,St. John's East,975515529.50399994850,10001,Avalon,81781,NL,8020015694.22000026703,17277502.690,87345
10006,St. John's East,975515529.50399994850,10006,St. John's East,85038,NL,905358984.22399997711,888191703.800,87345
10006,St. John's East,975515529.50399994850,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,56262728.710,87345
10007,St. John's South--Mount Pearl,621422511.80400002003,10001,Avalon,81781,NL,8020015694.22000026703,445207209.900,81544
10007,St. John's South--Mount Pearl,621422511.80400002003,10002,Cape Spear,85038,NL,195273840.91999998689,160803293.300,81544
10007,St. John's South--Mount Pearl,621422511.80400002003,10006,St. John's East,85038,NL,905358984.22399997711,7558492.645,81544
24001,Abitibi--Baie-James--Nunavik--Eeyou,858585391830.00000000000,24001,Abitibi—Baie-James—Nunavik—Eeyou,89087,QC,858585391817.00000000000,89119456432.000,89087
24002,Abitibi--Témiscamingue,37660077948.40000152588,24002,Abitibi—Témiscamingue,103735,QC,37659879005.40000152588,37289444575.000,103735
24072,Shefford,1433742150.71000003815,24071,Shefford,115924,QC,1433534916.06999993324,1390429831.000,115924
24068,Saint-Laurent,44253828.66719999909,24068,Saint-Laurent,108763,QC,45314589.94749999791,42951133.500,102104
24073,Sherbrooke,104815699.98199997842,24019,Compton—Stanstead,113282,QC,4814804735.32999992371,3323279.399,119038
24073,Sherbrooke,104815699.98199997842,24072,Sherbrooke,116844,QC,101802526.53300000727,98319583.200,119038
24003,Ahuntsic-Cartierville,25064080.50239999965,24068,Saint-Laurent,108763,QC,45314589.94749999791,1029857.090,118170
24003,Ahuntsic-Cartierville,25064080.50239999965,24003,Ahuntsic-Cartierville,111511,QC,24003320.32330000028,23306095.440,118170
24004,Alfred-Pellan,125947804.25200000405,24004,Alfred-Pellan,113173,QC,128967253.71899999678,122409778.200,102020
24005,Argenteuil--La Petite-Nation,5508817522.35999965668,24039,Les Pays-d'en-Haut,106834,QC,1804086699.91000008583,646715484.700,102311
24005,Argenteuil--La Petite-Nation,5508817522.35999965668,24005,Argenteuil—La Petite-Nation,108903,QC,5404881265.85999965668,4715437231.000,102311
24006,Avignon--La Mitis--Matane--Matapédia,18215460786.70000076294,24062,Rimouski—La Matapédia,102019,QC,14002079315.29999923706,8655221676.000,70253
24006,Avignon--La Mitis--Matane--Matapédia,18215460786.70000076294,24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,110225,QC,28587156992.09999847412,9488834336.000,70253
24007,Beauce,4244243159.84000015259,24006,Beauce,111034,QC,4244243161.43999958038,4144188698.000,111034
24009,Bécancour--Nicolet--Saurel,3131636316.80000019073,24009,Bécancour—Nicolet—Saurel—Alnôbak,96439,QC,3131636317.57000064850,3058785634.000,96439
24010,Bellechasse--Les Etchemins--Lévis,3355637777.23000049591,24010,Bellechasse—Les Etchemins—Lévis,111737,QC,3344614818.69999980927,3278343388.000,120179
24011,Beloeil--Chambly,402898340.11099994183,24049,Mont-Saint-Bruno—L’Acadie,111323,QC,214742550.62200000882,55813133.950,125359
24011,Beloeil--Chambly,402898340.11099994183,24011,Beloeil—Chambly,114551,QC,345363049.00900000334,335158569.700,125359
24012,Berthier--Maskinongé,4639094999.84000015259,24012,Berthier—Maskinongé,108640,QC,4695300029.86999988556,4539668587.000,105280
24014,Pierre-Boucher--Les Patriotes--Verchères,779349587.58500003815,24055,Pierre-Boucher—Les Patriotes—Verchères,103020,QC,779349587.41199994087,757932500.200,103020
35074,Oshawa,85414680.04799999297,35078,Oshawa,131067,ON,85414680.04839999974,81617794.000,131067
24076,Trois-Rivières,145263220.33399999142,24075,Trois-Rivières,114064,QC,145263218.60100001097,142095806.900,114064
35073,Oakville North--Burlington,92021515.08820000291,35075,Oakville East,108735,ON,81151627.77500000596,35136677.570,148936
35073,Oakville North--Burlington,92021515.08820000291,35076,Oakville West,105024,ON,81128785.12190000713,25728135.240,148936
35073,Oakville North--Burlington,92021515.08820000291,35018,Burlington North—Milton West,125575,ON,397304472.40700000525,26676148.400,148936
24008,Beauport--Limoilou,42352246.11219999939,24008,Beauport—Limoilou,113598,QC,54836295.45560000837,41611477.560,96064
24015,Bourassa,16191027.92390000075,24013,Bourassa,105637,QC,16191026.55570000038,15729088.470,105637
24016,Brome--Missisquoi,3033699714.19000005722,24014,Brome—Missisquoi,113913,QC,3033699716.15999984741,2935546070.000,113913
24017,Brossard--Saint-Lambert,65307073.92230000347,24015,Brossard—Saint-Lambert,114286,QC,65307073.23430000991,63358730.940,114286
24018,Rimouski-Neigette--Témiscouata--Les Basques,9411832188.56999969482,24062,Rimouski—La Matapédia,102019,QC,14002079315.29999923706,5275466702.000,85556
24018,Rimouski-Neigette--Témiscouata--Les Basques,9411832188.56999969482,24020,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,116216,QC,13479775541.00000190735,4058187202.000,85556
24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,13227226477.10000038147,24051,Montmorency—Charlevoix,101119,QC,13397364505.79999923706,13070402536.000,95736
24021,Châteauguay--Lacolle,973791726.59399998188,24017,Châteauguay—Les Jardins-de-Napierville,114947,QC,1553493859.57999992371,941888813.300,105111
24022,Chicoutimi--Le Fjord,2819610386.98000001907,24018,Chicoutimi—Le Fjord,92460,QC,3988518759.38000059128,2801845025.000,80593
24023,Compton--Stanstead,4811791558.11999988556,24019,Compton—Stanstead,113282,QC,4814804735.32999992371,4663010370.000,111088
24025,Drummond,1669833247.78999996185,24023,Drummond,107967,QC,1669833248.50999975204,1626054970.000,107967
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,39174282.34989999980,24037,Laurier—Sainte-Marie,115704,QC,20758551.71279999986,10471230.320,134555
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,39174282.34989999980,24052,Notre-Dame-de-Grâce—Westmount,111377,QC,17366828.22890000045,1141045.887,134555
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,39174282.34989999980,24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,114364,QC,27210699.40709999949,26403757.790,134555
24078,Vimy,36518280.13260000199,24078,Vimy,108773,QC,33498830.31700000167,32531330.480,119926
24078,Vimy,36518280.13260000199,24004,Alfred-Pellan,113173,QC,128967253.71899999678,2932526.537,119926
59021,North Vancouver,353111824.88099998236,59003,Burnaby North—Seymour,119311,BC,155666955.12999999523,30844145.810,123025
59021,North Vancouver,353111824.88099998236,59022,North Vancouver—Capilano,116055,BC,330197621.04000002146,323458689.800,123025
48019,Edmonton Strathcona,79840070.85780000687,48022,Edmonton Strathcona,111556,AB,83822629.70450000465,81023787.600,102188
48019,Edmonton Strathcona,79840070.85780000687,48017,Edmonton Griesbach,111126,AB,45160282.39320000261,1156788.246,102188
48020,Edmonton West,105389659.97699999809,48019,Edmonton Northwest,112964,AB,102762508.02300000191,43806298.810,134194
48020,Edmonton West,105389659.97699999809,48023,Edmonton West,112943,AB,75241977.34379999340,60299032.380,134194
48020,Edmonton West,105389659.97699999809,48015,Edmonton Centre,115160,AB,45535399.40810000151,4307491.982,134194
48021,Edmonton--Wetaskiwin,4945227771.86999988556,48020,Edmonton Riverbend,111578,AB,122716648.79499998689,82920076.160,209431
48021,Edmonton--Wetaskiwin,4945227771.86999988556,48021,Edmonton Southeast,113208,AB,69922701.76019999385,39624409.240,209431
48021,Edmonton--Wetaskiwin,4945227771.86999988556,48028,Leduc—Wetaskiwin,114237,AB,6182037753.10999965668,4920900376.000,209431
48021,Edmonton--Wetaskiwin,4945227771.86999988556,48016,Edmonton Gateway,110184,AB,63153924.03459999710,39975742.310,209431
24024,Dorval--Lachine--LaSalle,67662759.86300000548,24035,LaSalle—Émard—Verdun,112298,QC,37585060.54020000249,1179720.210,119395
24024,Dorval--Lachine--LaSalle,67662759.86300000548,24022,Dorval—Lachine—LaSalle,114661,QC,66437258.45920000225,64449417.500,119395
24019,Charlesbourg--Haute-Saint-Charles,117542963.96700000763,24051,Montmorency—Charlevoix,101119,QC,13397364505.79999923706,2874471.220,109690
24019,Charlesbourg--Haute-Saint-Charles,117542963.96700000763,24008,Beauport—Limoilou,113598,QC,54836295.45560000837,3050592.612,109690
24019,Charlesbourg--Haute-Saint-Charles,117542963.96700000763,24016,Charlesbourg—Haute-Saint-Charles,113308,QC,124501407.56700000167,109596881.400,109690
35075,Ottawa Centre,38520975.57240000367,35079,Ottawa Centre,126560,ON,41978012.49899999797,32179080.830,126360
35075,Ottawa Centre,38520975.57240000367,35082,Ottawa West—Nepean,128592,ON,60665238.48269999772,5171958.894,126360
35120,York South--Weston,26222120.80490000546,35022,Davenport,125048,ON,15349833.11999999918,1624814.678,116757
35120,York South--Weston,26222120.80490000546,35105,Taiaiako'n—Parkdale—High Park,117873,ON,19680969.52430000156,2278595.029,116757
35120,York South--Weston,26222120.80490000546,35122,York South—Weston—Etobicoke,111369,ON,25076224.41019999608,21105200.250,116757
59022,Pitt Meadows--Maple Ridge,2140661523.63000011444,59024,Pitt Meadows—Maple Ridge,116916,BC,2358643488.55000019073,2149795651.000,110416
59024,Prince George--Peace River--Northern Rockies,243272494152.00000000000,59026,Prince George—Peace River—Northern Rockies,116962,BC,243277306530.00000000000,25472713652.000,108998
35111,Vaughan--Woodbridge,84214606.52560000122,35047,King—Vaughan,124401,ON,485245013.88899999857,793756.299,106810
35111,Vaughan--Woodbridge,84214606.52560000122,35113,Vaughan—Woodbridge,121705,ON,92268097.63899999857,79607519.000,106810
35112,Waterloo,78023827.26759999990,35114,Waterloo,121436,ON,68445707.14990000427,65136105.080,127235
35112,Waterloo,78023827.26759999990,35048,Kitchener Centre,113404,ON,51486628.33990000933,9115079.300,127235
35113,Wellington--Halton Hills,1583676475.34999990463,35060,Milton East—Halton Hills South,116592,ON,256524789.99200001359,146835078.700,127873
35113,Wellington--Halton Hills,1583676475.34999990463,35115,Wellington—Halton Hills North,105468,ON,1454136222.83999991417,1362808889.000,127873
24074,Vaudreuil--Soulanges,530396173.37900000811,24076,Vaudreuil,120653,QC,430543725.45899993181,417588916.600,129612
24074,Vaudreuil--Soulanges,530396173.37900000811,24007,Beauharnois—Salaberry—Soulanges—Huntingdon,118474,QC,1987219357.83999991417,96765539.890,129612
24013,Thérèse-De Blainville,77925974.44900000095,24074,Thérèse-De Blainville,112160,QC,80475726.08720000088,75757474.030,106013
24075,Terrebonne,162722088.80099999905,24073,Terrebonne,113797,QC,160172337.50299999118,155795194.400,119944
24075,Terrebonne,162722088.80099999905,24074,Thérèse-De Blainville,112160,QC,80475726.08720000088,2479123.517,119944
59023,Port Moody--Coquitlam,116731381.97599999607,59020,New Westminster—Burnaby—Maillardville,114665,BC,29864353.90569999814,4934063.969,114853
59023,Port Moody--Coquitlam,116731381.97599999607,59025,Port Moody—Coquitlam,115367,BC,130936783.69799999893,112055395.100,114853
59025,Richmond Centre,397540385.68600004911,59027,Richmond Centre—Marpole,116380,BC,132886824.98899999261,128374340.600,107707
59025,Richmond Centre,397540385.68600004911,59028,Richmond East—Steveston,116141,BC,125132605.97400000691,10284487.430,107707
59025,Richmond Centre,397540385.68600004911,59043,West Vancouver—Sunshine Coast—Sea to Sky Country,114257,BC,15127506069.70000076294,259503072.200,107707
59026,Esquimalt--Saanich--Sooke,954378792.45299994946,59029,Saanich—Gulf Islands,122147,BC,1576980154.98999977112,19638715.670,128644
59026,Esquimalt--Saanich--Sooke,954378792.45299994946,59012,Esquimalt—Saanich—Sooke,120170,BC,974824729.19299995899,928458101.700,128644
59027,Saanich--Gulf Islands,1562003109.85999965668,59029,Saanich—Gulf Islands,122147,BC,1576980154.98999977112,1554629715.000,113541
35114,Whitby,154828596.66600000858,35087,Pickering—Brooklin,122430,ON,307233373.33899998665,58672680.410,138501
35114,Whitby,154828596.66600000858,35116,Whitby,115257,ON,93487836.00169999897,89344407.990,138501
35115,Willowdale,20711812.52549999952,35117,Willowdale,118218,ON,20712387.97269999981,19769640.070,118218
35001,Ajax,70828585.66240000725,35001,Ajax,126666,ON,70828585.68320000172,67669229.540,126666
35002,Algoma--Manitoulin--Kapuskasing,122867820618.00000000000,35091,Sault Ste. Marie—Algoma,113772,ON,51608685830.09999847412,43067533856.000,80310
35002,Algoma--Manitoulin--Kapuskasing,122867820618.00000000000,35104,Sudbury East—Manitoulin—Nickel Belt,99827,ON,45432669308.09999847412,13633851197.000,80310
35002,Algoma--Manitoulin--Kapuskasing,122867820618.00000000000,35108,Thunder Bay—Superior North,86147,ON,169756575278.00000000000,15944175768.000,80310
35002,Algoma--Manitoulin--Kapuskasing,122867820618.00000000000,35044,Kapuskasing—Timmins—Mushkegowuk,93948,ON,276430613805.00000000000,49209807908.000,80310
35003,Aurora--Oak Ridges--Richmond Hill,100476596.20899999142,35003,Aurora—Oak Ridges—Richmond Hill,117750,ON,101665552.85999998450,91599503.440,118883
35003,Aurora--Oak Ridges--Richmond Hill,100476596.20899999142,35089,Richmond Hill South,124748,ON,46518700.58359999210,4469959.798,118883
35004,Barrie--Innisfil,407087314.35500001907,35004,Barrie South—Innisfil,120378,ON,407087314.20099991560,390569349.300,120378
24026,Gaspésie--Les Îles-de-la-Madeleine,1373829866.80999994278,24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,110225,QC,1373829866.80999994278,1357509259.000,75927
24027,Gatineau,133961483.79299999774,24005,Argenteuil—La Petite-Nation,108903,QC,5404881265.85999965668,64818595.530,107286
24027,Gatineau,133961483.79299999774,24025,Gatineau,109624,QC,96151582.04649999738,64865096.690,107286
24028,Hochelaga,24062875.56250000000,24026,Hochelaga—Rosemont-Est,110039,QC,24252693.54490000010,23368829.690,108264
24029,Honoré-Mercier,43933981.42559999973,24027,Honoré-Mercier,105434,QC,44887867.47070000321,42696466.150,104578
24026,Gaspésie--Les Îles-de-la-Madeleine,19065220061.29999923706,24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,110225,QC,28587156992.09999847412,19017155944.000,75927
24030,Hull--Aylmer,79740686.64219999313,24028,Hull—Aylmer,105559,QC,78263141.28129999340,75558458.000,110881
24030,Hull--Aylmer,79740686.64219999313,24057,Pontiac—Kitigan Zibi,111138,QC,30321888468.90000152588,1781041.184,110881
24031,Joliette,9096631535.89999961853,24029,Joliette—Manawan,104882,QC,8086980745.40000057220,7912566463.000,112418
24031,Joliette,9096631535.89999961853,24036,Laurentides—Labelle,92897,QC,20010989974.40000152588,649497858.700,112418
24031,Joliette,9096631535.89999961853,24039,Les Pays-d'en-Haut,106834,QC,1804086699.91000008583,359374817.100,112418
24032,Jonquière,42251460824.90000152588,24030,Jonquière,91061,QC,59261039871.59999084473,41446697569.000,91073
24032,Jonquière,42251460824.90000152588,24018,Chicoutimi—Le Fjord,92460,QC,3988518759.38000059128,1164731977.000,91073
24033,La Pointe-de-l'Île,50856089.08830000460,24031,La Pointe-de-l'Île,110486,QC,50805155.78000000119,49373271.290,110486
24035,Lac-Saint-Jean,60608336845.00000000000,24030,Jonquière,91061,QC,59261039871.59999084473,18323822741.000,103886
24035,Lac-Saint-Jean,60608336845.00000000000,24033,Lac-Saint-Jean,92031,QC,42429849437.59999847412,42518155405.000,103886
59032,Surrey Centre,43810683.69910000265,59013,Fleetwood—Port Kells,117423,BC,53364065.24419999868,1331122.879,131670
59032,Surrey Centre,43810683.69910000265,59033,Surrey Centre,119724,BC,42481523.65829999745,42544238.420,131670
59028,Skeena--Bulkley Valley,374670419041.00000000000,59031,Skeena—Bulkley Valley,89689,BC,374680636632.00000000000,39036317626.000,89689
59029,South Okanagan--West Kootenay,18138506067.50000000000,59016,Kelowna,105736,BC,2691999041.59999990463,2455541359.000,123487
59029,South Okanagan--West Kootenay,18138506067.50000000000,59030,Similkameen—South Okanagan—West Kootenay,111246,BC,17156989278.50000000000,9893829380.000,123487
59029,South Okanagan--West Kootenay,18138506067.50000000000,59041,Vernon—Lake Country—Monashee,108606,BC,15146554439.39999961853,5505276978.000,123487
59029,South Okanagan--West Kootenay,18138506067.50000000000,59007,Columbia—Kootenay—Southern Rockies,117132,BC,41086322465.59999847412,359357449.700,123487
59030,South Surrey--White Rock,194857632.25900000334,59011,Delta,117734,BC,412118036.33399999142,2082448.312,119672
59030,South Surrey--White Rock,194857632.25900000334,59032,South Surrey—White Rock,118278,BC,192786895.06600001454,192852060.700,119672
59031,Steveston--Richmond East,230891394.33899998665,59028,Richmond East—Steveston,116141,BC,125132605.97400000691,114992857.200,102230
59031,Steveston--Richmond East,230891394.33899998665,59043,West Vancouver—Sunshine Coast—Sea to Sky Country,114257,BC,15127506069.70000076294,116089184.200,102230
35116,Windsor--Tecumseh,200145593.40200001001,35118,Windsor—Tecumseh—Lakeshore,131097,ON,309853847.68800002337,187701774.300,122798
35117,Windsor West,87555534.20520000160,35119,Windsor West,130162,ON,87951573.41310000420,82281041.800,130162
35119,York--Simcoe,1167046970.14000010490,35069,New Tecumseth—Gwillimbury,119358,ON,754077333.81599998474,447413519.700,124458
35119,York--Simcoe,1167046970.14000010490,35047,King—Vaughan,124401,ON,485245013.88899999857,46149722.670,124458
35119,York--Simcoe,1167046970.14000010490,35121,York—Durham,116560,ON,2326570298.46000003815,625482803.000,124458
35118,York Centre,37040481.21920000017,35120,York Centre,108307,ON,37039905.99830000103,35346309.060,108307
35121,Humber River--Black Creek,32245128.18580000103,35041,Humber River—Black Creek,111593,ON,32245128.20670000091,30770207.590,111593
48001,Banff--Airdrie,12284667171.79999923706,48001,Airdrie—Cochrane,115230,AB,578967394.37999999523,588451179.100,155580
48001,Banff--Airdrie,12284667171.79999923706,48037,Yellowhead,115086,AB,82457564112.60000610352,11818878342.000,155580
48001,Banff--Airdrie,12284667171.79999923706,48003,Bow River,112763,AB,21493820078.50000000000,94780322.690,155580
48002,Battle River--Crowfoot,53064632242.50000000000,48002,Battle River—Crowfoot,110212,AB,54542697702.00000000000,54043791833.000,107979
